# ------------------------------------------------------------------------------------------
# WARNING: These data may be provisional and subject to revision. The data are released
# on the condition that neither iUTAH may be held liable for any damages resulting from
# its use. The following metadata describe the data in this file:
# ------------------------------------------------------------------------------------------
#
# Site Information
# ---------------------------
# Network: Logan River
# SiteCode: LR_TWDEF_C
# SiteName: Climate Station at TW Daniels Experimental Forest
# IsActive: 1
# Latitude: 41.864805
# Longitude: -111.507494
# Elevation: 2629.2
# VerticalDatum: EGM96
# State: Utah
# County: Cache
# SiteType: Atmosphere
#
# Variable Information
# ---------------------------
# VariableCode: AirTemp_Avg
# VariableName: Temperature
# ValueType: Field Observation
# DataType: Average
# GeneralCategory: Climate
# SampleMedium: Air
# VariableUnitsName: degree celsius
# VariableUnitsType: Temperature
# VariableUnitsAbbreviation: degC
# NoDataValue: -9999
# TimeSupport: 15
# TimeSupportUnitsAbbreviation: min
# TimeSupportUnitsName: minute
# TimeSupportUnitsType: Time
#
# Method Information
# ---------------------------
# MethodDescription: Air temperature measured using a Campbell Scientific HC2S3 temperature and relative humidity sensor. Average over 15 minutes.
# MethodLink: LR_TWDEF_C
#
# Qualifier Information
# ---------------------------
#
# Series Information
# ---------------------------
# BeginDateTime: 2014-01-07T11:15:00
# EndDateTime: 2015-02-06T23:00:00
# DateLastUpdated: 2015-02-06T23:00:00
# NumberOfObservations: 38056
# QualityControlLevelCode: 0
# QualityControllLevelDefinition: Raw data
# QualityControlLevelExplanation: Raw and unprocessed data and data products that have not undergone quality control.  Depending on the variable, data type, and data transmission system, raw data may be available within seconds or minutes after the measurements have been made. Examples include real time precipitation, streamflow and water quality measurements.
# GetDataUrl: http://data.iutahepscor.org/LoganRiverWOF/REST/waterml_1_1.svc/datavalues?location=iutah:LR_TWDEF_C&variable=iutah:AirTemp_Avg/methodCode=1/sourceCode=1/qualityControlLevelCode=0&startDate=&endDate=
#
# Source Information
# ---------------------------
# SourceOrganization: Utah State University
# SourceDescription: Continuous monitoring data collected by Utah State University as part of the GAMUT network of the NSF iUTAH EPSCoR project.
#
DateTime, TimeOffset, DateTimeUTC, Value, CensorCode, QualifierCode
2014-01-07 11:15:00, -07:00, 2014-01-07 18:15:00, -7.05, nc, 
2014-01-07 11:30:00, -07:00, 2014-01-07 18:30:00, -7.415, nc, 
2014-01-07 11:45:00, -07:00, 2014-01-07 18:45:00, -7.726, nc, 
2014-01-07 12:00:00, -07:00, 2014-01-07 19:00:00, -7.768, nc, 
2014-01-07 12:15:00, -07:00, 2014-01-07 19:15:00, -7.538, nc, 
2014-01-07 12:30:00, -07:00, 2014-01-07 19:30:00, -7.255, nc, 
2014-01-07 12:45:00, -07:00, 2014-01-07 19:45:00, -6.922, nc, 
2014-01-07 13:00:00, -07:00, 2014-01-07 20:00:00, -6.434, nc, 
2014-01-07 13:15:00, -07:00, 2014-01-07 20:15:00, -6.056, nc, 
2014-01-07 13:30:00, -07:00, 2014-01-07 20:30:00, -6.302, nc, 
2014-01-07 13:45:00, -07:00, 2014-01-07 20:45:00, -6.802, nc, 
2014-01-07 14:00:00, -07:00, 2014-01-07 21:00:00, -7.069, nc, 
2014-01-07 14:15:00, -07:00, 2014-01-07 21:15:00, -7.076, nc, 
2014-01-07 14:30:00, -07:00, 2014-01-07 21:30:00, -7.219, nc, 
2014-01-07 14:45:00, -07:00, 2014-01-07 21:45:00, -7.427, nc, 
2014-01-07 15:00:00, -07:00, 2014-01-07 22:00:00, -7.274, nc, 
2014-01-07 15:15:00, -07:00, 2014-01-07 22:15:00, -6.821, nc, 
2014-01-07 15:30:00, -07:00, 2014-01-07 22:30:00, -6.996, nc, 
2014-01-07 15:45:00, -07:00, 2014-01-07 22:45:00, -7.166, nc, 
2014-01-07 16:00:00, -07:00, 2014-01-07 23:00:00, -7.01, nc, 
2014-01-07 16:15:00, -07:00, 2014-01-07 23:15:00, -6.93, nc, 
2014-01-07 16:30:00, -07:00, 2014-01-07 23:30:00, -7.022, nc, 
2014-01-07 16:45:00, -07:00, 2014-01-07 23:45:00, -7.251, nc, 
2014-01-07 17:00:00, -07:00, 2014-01-08 00:00:00, -7.578, nc, 
2014-01-07 17:15:00, -07:00, 2014-01-08 00:15:00, -7.784, nc, 
2014-01-07 17:30:00, -07:00, 2014-01-08 00:30:00, -7.741, nc, 
2014-01-07 17:45:00, -07:00, 2014-01-08 00:45:00, -7.768, nc, 
2014-01-07 18:00:00, -07:00, 2014-01-08 01:00:00, -7.684, nc, 
2014-01-07 18:15:00, -07:00, 2014-01-08 01:15:00, -7.801, nc, 
2014-01-07 18:30:00, -07:00, 2014-01-08 01:30:00, -7.536, nc, 
2014-01-07 18:45:00, -07:00, 2014-01-08 01:45:00, -7.449, nc, 
2014-01-07 19:00:00, -07:00, 2014-01-08 02:00:00, -7.624, nc, 
2014-01-07 19:15:00, -07:00, 2014-01-08 02:15:00, -8.19, nc, 
2014-01-07 19:30:00, -07:00, 2014-01-08 02:30:00, -8.61, nc, 
2014-01-07 19:45:00, -07:00, 2014-01-08 02:45:00, -8.62, nc, 
2014-01-07 20:00:00, -07:00, 2014-01-08 03:00:00, -8.52, nc, 

